year,CTY_CODE,CTYNAME,Imports ($B),Exports ($B),Tariff Rate,Geopolitical_swing_state
2024,4091,Faroe Islands,0.249452532,0.001372159,10%,FALSE
2024,7990,Lesotho,0.237257685,0.002794513,50%,FALSE
2024,1610,St Pierre and Miquelon,0.003435723,0.000051169,10%,FALSE
2024,5550,Cambodia,12.66180682,0.321629583,49%,FALSE
2024,5530,Laos,0.803320155,0.040385293,48%,FALSE
2024,4792,Slovenia,6.29303794,0.332200789,20%,FALSE
2024,4359,Slovakia,8.187354597,0.552738983,20%,FALSE
2024,7880,Madagascar,0.733215493,0.053407211,47%,FALSE
2024,5520,Vietnam,136.5611558,13.09815512,46%,TRUE
2024,5460,Myanmar (Burma),0.656460945,0.077152222,44%,FALSE
2024,5420,Sri Lanka,3.015585462,0.368214575,44%,FALSE
2024,6144,Niue,0.004322244,0.000648447,10%,FALSE
2024,4190,Ireland,103.2862534,16.5380313,20%,FALSE
2024,4621,Russia,3.007500456,0.526066141,0%,FALSE
2024,3720,Falkland Islands,0.022756661,0.004092467,41%,FALSE
2024,5020,Syria,0.010651468,0.002020826,41%,FALSE
2024,7850,Mauritius,0.234519911,0.04799104,40%,FALSE
2024,5050,Iraq,7.422275381,1.660554212,39%,FALSE
2024,3120,Guyana,5.37548866,1.31493053,38%,FALSE
2024,4330,Austria,17.57201283,4.474205091,20%,FALSE
2024,4370,Hungary,12.70393146,3.260923937,20%,FALSE
2024,7930,Botswana,0.405123674,0.104327456,37%,FALSE
2024,4801,Serbia,0.814350544,0.20985911,37%,FALSE
2024,5380,Bangladesh,8.365766327,2.213964142,37%,TRUE
2024,7904,Reunion,0.044066856,0.011883522,10%,FALSE
2024,4411,Liechtenstein,0.24372052,0.06604089,37%,FALSE
2024,5490,Thailand,63.32818022,17.71924949,36%,FALSE
2024,4793,Bosnia and Herzegovina,0.179089584,0.052988456,35%,FALSE
2024,4050,Finland,8.02951671,2.564091906,20%,FALSE
2024,4850,Romania,3.905012813,1.2592816,20%,FALSE
2024,5700,China,438.9473861,143.5457395,145%,FALSE
2024,4870,Bulgaria,1.490134155,0.489434923,20%,FALSE
2024,4794,North Macedonia,0.173710793,0.060635165,33%,FALSE
2024,4470,Estonia,1.06540398,0.373874186,20%,FALSE
2024,5600,Indonesia,28.08473788,10.20209572,32%,TRUE
2024,5830,Taiwan,116.2640269,42.33686142,32%,TRUE
2024,7620,Angola,1.869239166,0.682352869,32%,FALSE
2024,6863,Fiji,0.259272473,0.094679571,32%,FALSE
2024,7250,Libya,1.465562558,0.567220437,31%,FALSE
2024,4641,Moldova,0.136495167,0.053629683,31%,FALSE
2024,4419,Switzerland,63.4253186,24.96198692,31%,FALSE
2024,7910,South Africa,14.65578659,5.818998932,30%,FALSE
2024,6862,Nauru,0.002238924,0.000916696,30%,FALSE
2024,7210,Algeria,2.461611142,1.014504109,30%,FALSE
2024,5350,Pakistan,5.12365616,2.135147106,29%,FALSE
2024,6022,Norfolk Island,0.000191165,0.000080944,10%,FALSE
2024,4759,Italy,76.36648819,32.40200334,20%,FALSE
2024,7230,Tunisia,1.123215612,0.503588215,28%,FALSE
2024,4010,Sweden,17.99567267,8.187319415,20%,TRUE
2024,4634,Kazakhstan,2.33074942,1.077097171,27%,FALSE
2024,4710,Portugal,6.588956258,3.048429239,20%,FALSE
2024,4280,Germany,160.4365479,75.61290297,20%,TRUE
2024,5330,India,87.41644858,41.75266797,26%,TRUE
2024,5800,South Korea,131.5491871,65.54179042,25%,TRUE
2024,1220,Canada,412.6957199,349.3599399,25%,TRUE
2024,2010,Mexico,505.8505986,334.041359,25%,TRUE
2024,5310,Afghanistan,0.022588359,0.011446788,10%,FALSE
2024,5570,Malaysia,52.53484796,27.70475083,24%,FALSE
2024,4622,Belarus,0.020048973,0.010599133,10%,FALSE
2024,4351,Czech Republic,8.081908339,4.279765621,20%,FALSE
2024,5610,Brunei,0.238849306,0.127213271,24%,FALSE
2024,5880,Japan,148.2085666,79.74084555,24%,TRUE
2024,6224,Vanuatu,0.013667021,0.007601059,22%,FALSE
2024,4099,Denmark,10.04042222,5.807765771,20%,FALSE
2024,7920,Namibia,0.275225098,0.160506498,21%,FALSE
2024,7480,Côte d'Ivoire,1.014676411,0.596568616,21%,FALSE
2024,5110,Jordan,3.364877293,2.03078495,20%,FALSE
2024,5083,West Bank admin. by Israel,0.005998891,0.003652287,10%,FALSE
2024,2190,Nicaragua,4.622325539,2.940985161,18%,FALSE
2024,7960,Zimbabwe,0.067833118,0.043782746,18%,FALSE
2024,5650,Philippines,14.17762812,9.297313129,17%,FALSE
2024,7970,Malawi,0.04105461,0.026940731,17%,FALSE
2024,5081,Israel,22.21748485,14.79203496,17%,FALSE
2024,7940,Zambia,0.169112021,0.113762941,17%,FALSE
2024,7870,Mozambique,0.216070589,0.149698447,16%,FALSE
2024,4039,Norway,6.58333417,4.592039618,15%,TRUE
2024,3070,Venezuela,5.987862777,4.232021935,15%,FALSE
2024,4279,France,59.90326795,43.52038208,20%,TRUE
2024,7530,Nigeria,5.699175959,4.174298267,14%,FALSE
2024,7560,Chad,0.080814038,0.059939855,13%,FALSE
2024,7380,Equatorial Guinea,0.127640788,0.095379691,13%,FALSE
2024,7420,Cameroon,0.24880528,0.193064344,11%,FALSE
2024,7660,Democratic Republic of Congo,0.323100139,0.253285367,11%,FALSE
2024,3350,Bolivia,0.504146695,0.401036421,10%,FALSE
2024,1010,Greenland,0.032585481,0.048420782,10%,FALSE
2024,2050,Guatemala,5.019892412,9.714801951,10%,FALSE
2024,2080,Belize,0.081128498,0.590448355,10%,FALSE
2024,2110,El Salvador,2.311212791,4.556353458,10%,FALSE
2024,2150,Honduras,5.532561721,7.057473677,10%,FALSE
2024,2230,Costa Rica,11.63490533,9.676788152,10%,FALSE
2024,2250,Panama,0.555820472,10.70213406,10%,FALSE
2024,2320,Bermuda,0.023328268,0.540382525,10%,FALSE
2024,2360,Bahamas,1.792373019,5.639742401,10%,FALSE
2024,2390,Cuba,0.004869872,0.586499825,10%,FALSE
2024,2410,Jamaica,0.361372579,2.644127532,10%,FALSE
2024,2430,Turks and Caicos Islands,0.010983629,0.71357661,10%,FALSE
2024,2440,Cayman Islands,0.04939955,1.286490024,10%,FALSE
2024,2450,Haiti,0.616770785,1.214423999,10%,FALSE
2024,2470,Dominican Republic,7.505430838,13.08166107,10%,FALSE
2024,2481,Anguilla,0.001190598,0.072488329,10%,FALSE
2024,2482,British Virgin Islands,0.060246807,0.312909554,10%,FALSE
2024,2483,St Kitts and Nevis,0.019629242,0.160188109,10%,FALSE
